,subject,age,run,test_trial,condition,repetition,distance,time,goalx,goaly,nav_x,nav_y,navigation_accuracy,chance_dist,distance_traveled,euclidean_path,path_efficiency,spawn_x,spawn_y,cone_x,cone_y,angular_error
1916,249,12.67,2,9,4,3,7.6049,18.732,23.2842,3.3263,20.7725,10.2491,75.67415027,31.26262838,54.177,43.762,10.415,-17.94,17.89,13.305,-13.305,18.13154938
1917,249,12.67,2,10,1,3,3.1428,9.7831,-16.6316,-16.6316,-14.2183,-15.9582,89.93727014,31.23208159,42.674,44.96,2.286,25.06,0.090027,-13.306,-13.305,26.01590966
1918,249,12.67,2,11,3,3,4.0372,20.399,11.642,24.947,9.3549,22.2147,88.10088491,33.92857343,45.972,44.269,1.703,-24.94,0.090042,13.305,13.31,2.180424827
1919,249,12.67,2,12,2,3,23.101,14.567,-6.6526,-19.9579,15.9609,-15.6344,22.47184036,29.79691522,69.781,39.541,30.24,-17.94,17.89,-13.306,-13.305,40.44717616
1920,249,12.67,3,1,1,1,2.0608,8.9662,16.6316,-16.6316,16.9448,-15.8928,93.40165658,31.23208159,33.878,34.633,0.755,18.66,17.89,13.305,-13.305,9.588195662
1921,249,12.67,3,2,3,1,9.1405,14.633,-24.9474,-11.6421,-19.2756,-4.7298,73.05980999,33.92886241,59.051,49.69,9.361,23.3,0.090027,-13.306,-13.305,11.23014837
1922,249,12.67,3,3,2,1,6.4575,12.966,19.9579,-6.6526,17.2322,-12.1906,78.32829354,29.79691522,46.481,44.019,2.462,-23.5,0.090042,13.305,-13.305,29.15578655
1923,249,12.67,3,4,4,1,24.432,23.616,3.3263,24.9474,17.785,5.3444,24.43679812,32.33319842,47.257,16.986,30.271,18.66,17.89,-13.305,13.305,65.67985652
1924,249,12.67,3,5,4,2,2.2149,9.7503,3.3263,24.9474,2.2953,24.4546,93.14976523,32.33319842,47.459,47.367,0.092,19.56,-19.51,-13.305,13.305,2.232545969
1925,249,12.67,3,6,2,2,16.5,17.032,19.9579,-6.6526,12.3465,-21.1688,44.62514029,29.79691522,50.908,37.17,13.738,-15.5571,-17.4563,13.305,-13.305,141.9472147
1926,249,12.67,3,7,3,2,49.714,30.031,-24.9474,-11.6421,15.4963,17.2063,-46.52421705,33.92886241,105.26,45.237,60.023,19.56,-19.51,-13.306,-13.305,157.0236187
1927,249,12.67,3,8,1,2,3.1342,8.116,16.6316,-16.6316,17.5876,-14.3275,89.96480593,31.23208159,45.057,46.795,1.738,0.059998,27.09,13.305,-13.305,31.57163478
1928,249,12.67,3,9,4,3,6.4604,9.7498,3.3263,24.9474,-2.5827,23.1529,80.01929807,32.33319842,48.401,48.441,0.04,-16.94,-19.01,-13.305,13.305,13.95961395
1929,249,12.67,3,10,1,3,2.8637,17.867,16.6316,-16.6316,18.7239,-16.1596,90.83090254,31.23208159,50.69,48.893,1.797,-17.94,17.89,13.305,-13.305,17.22037189
1930,249,12.67,3,11,3,3,9.8064,15.416,-24.9474,-11.6421,-23.757,-2.0949,71.09717419,33.92886241,45.007,30.411,14.596,-17.94,17.89,-13.306,-13.305,19.97752983
1931,249,12.67,3,12,2,3,3.262,16.234,19.9579,-6.6526,22.1502,-8.1472,89.05255804,29.79691522,40.464,24.65,15.814,18.66,17.89,13.305,-13.305,14.75059335
1932,249,12.67,4,1,2,1,2.0215,17.883,-19.9578,6.6527,-19.8498,5.9635,93.21573248,29.79687924,40.856,39.125,1.731,0.060028,-26.91,-13.305,13.305,3.285789587
1933,249,12.67,4,2,1,1,11.626,22.767,-16.6316,16.6316,-20.0652,5.6871,62.77545585,31.23208159,53.776,35.693,18.083,-16.94,-19.01,-13.305,13.305,93.41383234
1934,249,12.67,4,3,3,1,7.4409,13.8,24.947,-11.642,17.8026,-10.7906,78.06892761,33.92857343,43.972,42.572,1.4,-16.94,-19.01,13.305,-13.305,6.204079666
1935,249,12.67,4,4,4,1,5.7219,18.683,3.3263,-23.2842,8.6059,-22.1592,81.69731626,31.26262838,62.696,49.558,13.138,0.065002,26.1303,-13.306,-13.305,13.09445459
1936,249,12.67,4,5,3,2,6.9156,15.416,24.947,-11.642,18.7687,-9.1819,79.61718015,33.92857343,49.543,51.283,1.74,-24.94,0.090042,13.305,-13.305,1.051481713
1937,249,12.67,4,6,1,2,2.8988,13.799,-16.6316,16.6316,-16.0905,18.7553,90.7185181,31.23208159,48.851,44.893,3.958,25.06,0.090027,-13.305,13.305,17.92966088
1938,249,12.67,4,7,4,2,5.1341,9.7994,3.3263,-23.2842,-1.4442,-23.3217,83.57751646,31.26262838,48.389,46.381,2.008,-17.94,17.89,-13.306,-13.305,11.67359335
1939,249,12.67,4,8,2,2,3.6198,21.999,-19.9578,6.6527,-19.6871,9.7234,87.85174792,29.79687924,40.856,40.264,0.592,18.66,17.89,-13.305,13.305,15.69694212
1940,249,12.67,4,9,1,3,3.6811,11.434,-16.6316,16.6316,-14.8297,19.2208,88.21372188,31.23208159,53.126,51.182,1.944,19.56,-19.51,-13.305,13.305,30.54748748
1941,249,12.67,4,10,4,3,3.4727,10.566,3.3263,-23.2842,1.1282,-21.3795,88.89184889,31.26262838,48.557,31.974,16.583,25.06,0.090027,-13.306,-13.305,5.109361309
1942,249,12.67,4,11,2,3,2.2632,7.3174,-19.9578,6.6527,-19.0146,5.8575,92.40457371,29.79687924,40.396,38.441,1.955,0.060333,-26.1101,-13.305,13.305,7.526700395
1943,249,12.67,4,12,3,3,3.228,7.3494,24.947,-11.642,24.1813,-9.1453,90.4858953,33.92857343,50.198,52.106,1.908,-17.94,17.89,13.305,-13.305,4.300541464
1944,249,12.67,5,1,2,1,3.3513,14.616,19.9579,-6.6526,21.4569,-4.3323,88.75286259,29.79691522,49.631,45.125,4.506,-24.62,0.090042,13.305,-13.305,2.746299626
1945,249,12.67,5,2,4,1,2.3258,13.883,3.3263,24.9474,3.6706,26.2476,92.80677411,32.33319842,62.223,47.367,14.856,19.56,-19.51,-13.305,13.305,0.366311217
1946,249,12.67,5,3,1,1,2.5639,17.066,16.6316,-16.6316,16.5023,-18.3511,91.79081294,31.23208159,40.525,33.709,6.816,-16.94,-19.01,13.305,-13.305,12.64091539
1947,249,12.67,5,4,3,1,5.0825,16.316,-24.9474,-11.6421,-23.4358,-7.1759,85.02012847,33.92886241,57.247,52.701,4.546,18.66,17.89,-13.306,-13.305,7.992584916
1948,249,12.67,5,5,4,2,2.3163,12.967,3.3263,24.9474,3.3423,23.6189,92.83615568,32.33319842,18.04,16.986,1.054,18.66,17.89,-13.305,13.305,0.45982294
1949,249,12.67,5,6,3,2,6.7535,17.167,-24.9474,-11.6421,-19.3447,-8.3833,80.09511808,33.92886241,61.123,45.237,15.886,19.56,-19.51,-13.306,-13.305,1.586675124
1950,249,12.67,5,7,1,2,2.9944,9.8167,16.6316,-16.6316,15.8675,-18.8184,90.41242259,31.23208159,52.305,48.893,3.412,-17.94,17.89,13.305,-13.305,20.07209158
1951,249,12.67,5,8,2,2,2.2237,11.367,19.9579,-6.6526,20.4558,-5.6054,92.53714694,29.79691522,51.125,24.65,26.475,18.66,17.89,13.305,-13.305,2.118568926
1952,249,12.67,5,9,3,3,3.5161,12.183,-24.9474,-11.6421,-22.1822,-10.5856,89.63684677,33.92886241,53.521,29.311,24.21,-16.3474,16.3151,-13.306,-13.305,0.494155412
1953,249,12.67,5,10,1,3,4.1523,9.7658,16.6316,-16.6316,15.3868,-20.1088,86.7050168,31.23208159,48.739,45.358,3.381,0.62717,25.7665,13.305,-13.305,27.98714288
1954,249,12.67,5,11,4,3,11.127,13.832,3.3263,24.9474,-7.5212,26.5456,65.58645435,32.33319842,69.19,49.977,19.213,-0.75378,-24.827,-13.305,13.305,23.41368563
1955,249,12.67,5,12,2,3,42.781,20.315,19.9579,-6.6526,-22.7807,-6.4399,-43.57526504,29.79691522,92.53,45.441,47.089,-24.94,0.090042,13.305,-13.305,124.230675
1956,249,12.67,6,1,3,1,9.3168,8.1162,-11.6419,-24.947,-3.5747,-20.6899,72.53993524,33.92854344,49.678,51.866,2.188,18.2969,17.3632,-13.306,-13.305,15.21431982
1957,249,12.67,6,2,4,1,32.869,19.533,-23.2842,-3.3263,-6.9913,25.157,-5.138312752,31.26262838,94.13,48.502,45.628,25.06,0.090027,-13.305,13.305,82.59909714
1958,249,12.67,6,3,2,1,35.834,16.299,6.6526,19.9579,22.2669,-12.2399,-20.26077107,29.79691522,76.175,45.593,30.582,-16.94,-19.01,13.305,13.31,154.3094785
1959,249,12.67,6,4,1,1,6.4721,11.384,16.6316,16.6316,10.5754,17.9003,79.27739789,31.23208159,51.318,46.627,4.691,0.060028,-26.91,13.305,13.31,75.78072226
1960,249,12.67,6,5,2,2,6.926,18.766,6.6526,19.9579,7.1851,26.5976,76.75598313,29.79691522,79.718,41.568,38.15,19.56,-19.51,13.305,13.31,20.28989906
1961,249,12.67,6,6,4,2,43.669,22.734,-23.2842,-3.3263,15.1414,17.3334,-39.68435242,31.26262838,106.51,47.043,59.467,18.66,17.89,-13.305,13.305,139.2685466
1962,249,12.67,6,7,3,2,2.9458,8.1331,-11.6419,-24.947,-11.0375,-22.7761,91.31763494,33.92854344,42.106,31.729,10.377,19.56,-19.51,-13.306,-13.305,0.838409134
1963,249,12.67,6,8,1,2,4.9688,12.983,16.6316,16.6316,17.6197,12.1469,84.09071779,31.23208159,65.961,44.782,21.179,-24.94,0.090042,13.305,13.31,60.04334894
1964,249,12.67,6,9,3,3,6.4218,6.5163,-11.6419,-24.947,-13.2408,-19.0238,81.07257386,33.92854344,38.445,40.763,2.318,-15.7517,15.5638,-13.306,-13.305,9.821563398
1965,249,12.67,6,10,1,3,3.3278,9.7828,16.6316,16.6316,17.3743,14.0006,89.3449305,31.23208159,36.403,34.646,1.757,-17.94,17.89,13.305,13.31,35.32502569
1966,249,12.67,6,11,2,3,7.109,13.782,6.6526,19.9579,8.7655,26.4751,76.1418256,29.79691522,71.778,45.593,26.185,-16.94,-19.01,13.305,13.31,25.994517
