,subject,age_group,run,path
136,208,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-2_pca12_varExpl_MNI.nii.gz
137,208,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_208/moshiGO_208_run-3_pca12_varExpl_MNI.nii.gz
138,249,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-1_pca12_varExpl_MNI.nii.gz
139,249,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-2_pca12_varExpl_MNI.nii.gz
140,249,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-3_pca12_varExpl_MNI.nii.gz
141,313,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-1_pca12_varExpl_MNI.nii.gz
142,313,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-2_pca12_varExpl_MNI.nii.gz
143,313,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-3_pca12_varExpl_MNI.nii.gz
144,315,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-1_pca12_varExpl_MNI.nii.gz
145,315,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-2_pca12_varExpl_MNI.nii.gz
146,315,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-3_pca12_varExpl_MNI.nii.gz
147,333,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_333/moshiGO_333_run-1_pca12_varExpl_MNI.nii.gz
148,333,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_333/moshiGO_333_run-2_pca12_varExpl_MNI.nii.gz
149,333,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_333/moshiGO_333_run-3_pca12_varExpl_MNI.nii.gz
150,241,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_241/moshiGO_241_run-1_pca12_varExpl_MNI.nii.gz
151,241,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_241/moshiGO_241_run-2_pca12_varExpl_MNI.nii.gz
152,241,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_241/moshiGO_241_run-3_pca12_varExpl_MNI.nii.gz
153,277,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_277/moshiGO_277_run-1_pca12_varExpl_MNI.nii.gz
154,277,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_277/moshiGO_277_run-2_pca12_varExpl_MNI.nii.gz
155,277,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_277/moshiGO_277_run-3_pca12_varExpl_MNI.nii.gz
156,316,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_316/moshiGO_316_run-1_pca12_varExpl_MNI.nii.gz
157,316,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_316/moshiGO_316_run-2_pca12_varExpl_MNI.nii.gz
158,316,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_316/moshiGO_316_run-3_pca12_varExpl_MNI.nii.gz
159,248,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_248/moshiGO_248_run-1_pca12_varExpl_MNI.nii.gz
160,248,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_248/moshiGO_248_run-2_pca12_varExpl_MNI.nii.gz
161,248,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_248/moshiGO_248_run-3_pca12_varExpl_MNI.nii.gz
162,213,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_213/moshiGO_213_run-1_pca12_varExpl_MNI.nii.gz
163,213,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_213/moshiGO_213_run-2_pca12_varExpl_MNI.nii.gz
164,213,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_213/moshiGO_213_run-3_pca12_varExpl_MNI.nii.gz
