,Unnamed: 0,subject,age_group,run,path,func_path,cluster_hip_cluster_no_acc_mask_mean,cluster_hip_cluster_no_acc_unmasked_mean
247,247,249,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-2_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-2_pca12_varExpl.nii.gz,0.7817385395367941,0.790998284816742
248,248,249,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-3_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-3_pca12_varExpl.nii.gz,0.7984371682008108,0.7927410721778869
249,249,249,10-12yo,4,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-4_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-4_pca12_varExpl.nii.gz,0.7915645009941525,0.7892450070381165
250,250,249,10-12yo,5,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-5_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-5_pca12_varExpl.nii.gz,0.8046016361978319,0.799954297542572
251,251,249,10-12yo,6,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-6_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_249/moshiGO_249_run-6_pca12_varExpl.nii.gz,0.7960063947571648,0.7953758358955383
252,252,313,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-1_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-1_pca12_varExpl.nii.gz,0.7574790223785068,0.758142677800996
253,253,313,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-2_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-2_pca12_varExpl.nii.gz,0.7656018993128901,0.7687172208513532
254,254,313,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-3_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-3_pca12_varExpl.nii.gz,0.7483079640761666,0.7516817663397107
255,255,313,10-12yo,4,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-4_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-4_pca12_varExpl.nii.gz,0.790548210558684,0.7906205845730645
256,256,313,10-12yo,5,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-5_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-5_pca12_varExpl.nii.gz,0.776637271694515,0.7791369727679661
257,257,313,10-12yo,6,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-6_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_313/moshiGO_313_run-6_pca12_varExpl.nii.gz,0.7581550867661185,0.7582959170852389
258,258,315,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-1_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-1_pca12_varExpl.nii.gz,0.7935320109128952,0.7957540463518213
259,259,315,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-2_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-2_pca12_varExpl.nii.gz,0.7634421050548553,0.767266520747432
260,260,315,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-3_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-3_pca12_varExpl.nii.gz,0.7548150032758713,0.7610627898463497
261,261,315,10-12yo,4,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-4_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-4_pca12_varExpl.nii.gz,0.7601173341274261,0.766443168675458
262,262,315,10-12yo,5,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-5_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-5_pca12_varExpl.nii.gz,0.7577755838632584,0.7565188474125333
263,263,315,10-12yo,6,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-6_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_315/moshiGO_315_run-6_pca12_varExpl.nii.gz,0.7895390868186951,0.7941081590122647
264,264,333,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_333/moshiGO_333_run-1_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_333/moshiGO_333_run-1_pca12_varExpl.nii.gz,0.7817892795023711,0.7921505931651953
265,265,333,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_333/moshiGO_333_run-2_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_333/moshiGO_333_run-2_pca12_varExpl.nii.gz,0.7723785742469456,0.7753559856703787
